epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0485,1.07882,1.96969,1.80693,0.85452,0.80737,0.9008,0.65544,0.9517,1.40393,1.66809,0.000651852,0.000651852,0.000651852
2,67.7645,1.02193,1.11268,1.68394,0.86328,0.81089,0.9036,0.63702,1.01709,1.02216,1.81755,0.00130547,0.00130547,0.00130547
3,99.0664,1.02305,0.96611,1.72938,0.87244,0.77605,0.89008,0.63316,1.0429,1.03006,1.81822,0.00194588,0.00194588,0.00194588
4,131.373,1.01957,0.89797,1.6906,0.84821,0.83511,0.90638,0.66339,0.96852,0.92425,1.76537,0.0019406,0.0019406,0.0019406
5,164.061,0.99004,0.86168,1.72433,0.87003,0.83579,0.92568,0.7002,0.97704,0.86235,1.72399,0.0019208,0.0019208,0.0019208
6,195.963,0.95959,0.82682,1.61582,0.83589,0.86924,0.90698,0.69318,0.93657,0.90624,1.60072,0.001901,0.001901,0.001901
7,226.941,0.93885,0.79802,1.64483,0.88098,0.86721,0.93727,0.71694,0.9162,0.80616,1.61537,0.0018812,0.0018812,0.0018812
8,258.638,0.91282,0.75065,1.61056,0.88099,0.87638,0.94123,0.72727,0.91693,0.84449,1.58024,0.0018614,0.0018614,0.0018614
9,291.435,0.94413,0.76767,1.62728,0.89033,0.84626,0.92941,0.7142,0.92304,0.80961,1.68386,0.0018416,0.0018416,0.0018416
10,322.881,0.92978,0.73023,1.61189,0.86215,0.87119,0.92412,0.72052,0.88861,0.84637,1.58249,0.0018218,0.0018218,0.0018218
11,354.219,0.87574,0.7129,1.56328,0.86035,0.87362,0.93149,0.72373,0.89205,0.77593,1.54288,0.001802,0.001802,0.001802
12,385.345,0.89351,0.70993,1.59988,0.87454,0.91421,0.94964,0.74031,0.88521,0.72966,1.54999,0.0017822,0.0017822,0.0017822
13,418.462,0.86785,0.70251,1.56334,0.85993,0.88284,0.92596,0.73677,0.84894,0.75977,1.5661,0.0017624,0.0017624,0.0017624
14,450.171,0.84568,0.67833,1.54211,0.87059,0.91851,0.94874,0.73982,0.87325,0.75238,1.48944,0.0017426,0.0017426,0.0017426
